setting,seed,method,onmi,modularity,f1,acc_all,acc_clean,acc_bad,auroc_agree,dprime,ovl,agree_mean,agree_sd,agree_gt08,alpha_mean,conf_mean,n_both,n_bad,eff_rank,n_comp,cv_corr,train_corr,cv_cos,train_cos,cv_cos_sd,cv_cos_gt08,note,error,secs
H~B|crisismmd|q0.0,1,cv|r2|c8,,,,,,,,,,,,,,,,,384,8,0.05566666120717793,0.9889153870995788,0.05601776672792828,0.9837964678800957,0.36475520840343856,0.00875,,,8.39
H~B|crisismmd|q0.0,1,cv|r2|c16,,,,,,,,,,,,,,,,,384,16,0.045676055811178846,0.9887745054731555,0.044429136255575694,0.9840484624918131,0.2593868246696493,0.0,,,15.81
H~B|crisismmd|q0.0,1,cv|r4|c4,,,,,,,,,,,,,,,,,200,4,0.2867458194012274,0.9387658603989927,0.23246293581679364,0.8975656809805912,0.49617348998295896,0.1325,,,2.11
H~B|crisismmd|q0.0,1,cv|r4|c8,,,,,,,,,,,,,,,,,200,8,0.24465581969206435,0.9308200454670338,0.22769920875499167,0.900495750964625,0.3645605155413527,0.04125,,,3.09
H~B|crisismmd|q0.0,1,cv|r4|c16,,,,,,,,,,,,,,,,,200,16,0.19881512723622455,0.9161230554110358,0.18772535171574029,0.8889964788407918,0.2742995216456395,0.0075,,,5.44
H~B|crisismmd|q0.0,1,cv|r8|c4,,,,,,,,,,,,,,,,,100,4,0.547678407389961,0.8245338660213324,0.4437793512837714,0.7480154674830743,0.4724723744784363,0.275,,,0.7
H~B|crisismmd|q0.0,1,cv|r8|c8,,,,,,,,,,,,,,,,,100,8,0.44473629029008477,0.7929615648909245,0.38651726127398556,0.740821827315223,0.35394452387584757,0.1125,,,1.11
H~B|crisismmd|q0.0,1,cv|r8|c16,,,,,,,,,,,,,,,,,100,16,0.33991613228474693,0.7459185122611981,0.3164208682591899,0.7100487949975378,0.2822529102215163,0.02125,,,1.72
H~B|crisismmd|q0.0,1,cv|r16|c4,,,,,,,,,,,,,,,,,50,4,0.6178393409340609,0.7501155499187915,0.5206065573045141,0.6606735420912753,0.44431285185134106,0.37125,,,0.39
H~B|crisismmd|q0.0,1,cv|r16|c8,,,,,,,,,,,,,,,,,50,8,0.5183105269066475,0.691029457112573,0.46419076514756796,0.6342006652908989,0.34139814415324116,0.18375,,,0.48
H~B|crisismmd|q0.0,1,cv|r16|c16,,,,,,,,,,,,,,,,,50,16,0.3949026863896128,0.6035107481182755,0.36960878493573945,0.568638202276331,0.2724577586833759,0.02875,,,0.66
H~B|crisismmd|q0.0,1,cv|r32|c4,,,,,,,,,,,,,,,,,25,4,0.6087537188977317,0.6936648735855266,0.5271226535037432,0.6056252667618306,0.4362119852514842,0.37125,,,0.33
H~B|crisismmd|q0.0,1,cv|r32|c8,,,,,,,,,,,,,,,,,25,8,0.5026128918779267,0.60459121173773,0.4693051319340162,0.5609677852643155,0.3338720405849964,0.1525,,,0.38
H~B|crisismmd|q0.0,1,cv|r32|c16,,,,,,,,,,,,,,,,,25,16,0.38035129939127366,0.4729411185861503,0.36795057243532814,0.4548987218015518,0.27219401030409157,0.02375,,,0.41
H~B|crisismmd|q0.0,1,cv|r64|c4,,,,,,,,,,,,,,,,,12,4,0.5681813939872282,0.6210768066363711,0.46885686149293504,0.5133628177085678,0.45563165079223095,0.315,,,0.25
H~B|crisismmd|q0.0,1,cv|r64|c8,,,,,,,,,,,,,,,,,12,8,0.443247350282349,0.4897927276204128,0.40910196779590935,0.44929060993856407,0.3484354406263374,0.12625,,,0.23
H~B|crisismmd|q0.0,1,cv|r64|c16,,,,,,,,,,,,,,,,,12,,,,,,,,skip:eff_rank<common_dim,,0.0
H~B|crisismmd|q0.0,2,cv|r2|c4,,,,,,,,,,,,,,,,,384,4,0.04940141543898173,0.9898659068166499,0.05984652360743638,0.9825136270941256,0.505541864819457,0.07375,,,4.8
H~B|crisismmd|q0.0,2,cv|r2|c8,,,,,,,,,,,,,,,,,384,8,0.034275145656553846,0.9889988976014508,0.04017704221651726,0.9846709676693683,0.3533277179415635,0.00375,,,8.5
H~B|crisismmd|q0.0,2,cv|r2|c16,,,,,,,,,,,,,,,,,384,16,0.02794064045056092,0.9896128581531514,0.03377104176375277,0.9855052245275987,0.24927640358682485,0.00125,,,15.48
H~B|crisismmd|q0.0,2,cv|r4|c4,,,,,,,,,,,,,,,,,200,4,0.32477382992170656,0.9374277195115968,0.255731499002614,0.8962690654176757,0.4887427412932993,0.14625,,,1.92
H~B|crisismmd|q0.0,2,cv|r4|c8,,,,,,,,,,,,,,,,,200,8,0.2892956611508192,0.9291896631738791,0.2586502952695216,0.8996947200189617,0.3669668471079066,0.0525,,,2.94
H~B|crisismmd|q0.0,2,cv|r4|c16,,,,,,,,,,,,,,,,,200,16,0.220935108102978,0.9146331086475559,0.20556444907693305,0.8878958850081542,0.26747215991644085,0.00125,,,5.09
H~B|crisismmd|q0.0,2,cv|r8|c4,,,,,,,,,,,,,,,,,100,4,0.5407628439152974,0.8249820799326649,0.42172213749262466,0.7468515203696127,0.47328373968848214,0.2675,,,0.74
H~B|crisismmd|q0.0,2,cv|r8|c8,,,,,,,,,,,,,,,,,100,8,0.4392818799855688,0.793139280933969,0.3770897267813188,0.7448529953055073,0.36033057390530737,0.1125,,,1.03
H~B|crisismmd|q0.0,2,cv|r8|c16,,,,,,,,,,,,,,,,,100,16,0.350312826303417,0.745219934331827,0.32299134178159317,0.7103186190728302,0.2805513142185709,0.0225,,,1.72
H~B|crisismmd|q0.0,2,cv|r16|c4,,,,,,,,,,,,,,,,,50,4,0.6179366228333343,0.7518346334904258,0.5018638624784904,0.6625589536158626,0.4505276149093125,0.35125,,,0.42
H~B|crisismmd|q0.0,2,cv|r16|c8,,,,,,,,,,,,,,,,,50,8,0.5158647760178836,0.6920325418612843,0.45375544729600853,0.6362722408411983,0.34401827952188013,0.15875,,,0.51
H~B|crisismmd|q0.0,2,cv|r16|c16,,,,,,,,,,,,,,,,,50,16,0.38668656786031896,0.6018566840036808,0.3607456451336636,0.5674987452042586,0.2790417602778872,0.0275,,,0.69
