exp,dataset,variant,seed,cond,metric,value
A,crisismmd,robust,2,tree|L4,train,0.7525
A,crisismmd,robust,2,tree|L4,cv,0.7374999999999999
A,crisismmd,robust,2,tree|L6,train,0.85875
A,crisismmd,robust,2,tree|L6,cv,0.8487499999999999
A,crisismmd,robust,2,tree|L8,train,0.8725
A,crisismmd,robust,2,tree|L8,cv,0.85625
A,crisismmd,robust,2,tree|L12,train,0.88875
A,crisismmd,robust,2,tree|L12,cv,0.85625
A,crisismmd,robust,2,tree|L16,train,0.89875
A,crisismmd,robust,2,tree|L16,cv,0.85375
A,crisismmd,robust,2,tree|L24,train,0.91125
A,crisismmd,robust,2,tree|L24,cv,0.85
B,crisismmd,robust,2,all,n_with_content,800
B,crisismmd,robust,2,all,n_nodes,800
B,crisismmd,robust,2,all,refit_fallback,0
B,crisismmd,robust,2,all,flip_rate_refit,0.19625
B,crisismmd,robust,2,all,flip_rate_seed_noise,0.1275
B,crisismmd,robust,2,content_sensitivity,auc_flip,0.5322879416746739
B,crisismmd,robust,2,content_sensitivity,spearman_flip,0.04442185068965237
B,crisismmd,robust,2,content_flip_margin,auc_flip,0.82060603659201
B,crisismmd,robust,2,content_flip_margin,spearman_flip,0.4410907834011179
B,crisismmd,robust,2,alpha,auc_flip,0.649433883765391
B,crisismmd,robust,2,alpha,spearman_flip,0.20559160257056322
B,crisismmd,robust,2,normshare,auc_flip,0.6478786738120474
B,crisismmd,robust,2,normshare,spearman_flip,0.2034519398743597
B,crisismmd,robust,2,structure_sensitivity_neg,auc_flip,0.7644500797416569
B,crisismmd,robust,2,structure_sensitivity_neg,spearman_flip,0.3638312431159088
B,crisismmd,robust,2,intervention_flip,agreement,0.74125
B,crisismmd,robust,2,intervention_flip,precision,0.3333333333333333
B,crisismmd,robust,2,intervention_flip,recall,0.3184713375796178
B,crisismmd,robust,2,all,mean_content_sensitivity,0.19797030985443115
B,crisismmd,robust,2,all,mean_structure_sensitivity,0.25745207323258157
_,crisismmd,robust,2,core|crisismmd|robust|2,_done,2.02
A,crisismmd,robust,1,nbr,n_rules,6.0
A,crisismmd,robust,1,nbr,coverage,0.9575
A,crisismmd,robust,1,nbr,fidelity,0.895
A,crisismmd,robust,1,nbr,precision_covered,0.9347258485639687
A,crisismmd,robust,1,nbr,majority,0.25625
A,crisismmd,robust,1,nbr,fidelity_with_fallback,0.93375
A,crisismmd,robust,1,old,fidelity,0.27375
A,crisismmd,robust,1,old,n_rules,5.0
A,crisismmd,robust,1,curve|r1,fidelity,0.25625
A,crisismmd,robust,1,curve|r1,coverage,0.29875
A,crisismmd,robust,1,curve|r2,fidelity,0.495
A,crisismmd,robust,1,curve|r2,coverage,0.56375
A,crisismmd,robust,1,curve|r3,fidelity,0.73375
A,crisismmd,robust,1,curve|r3,coverage,0.81625
A,crisismmd,robust,1,curve|r4,fidelity,0.83
A,crisismmd,robust,1,curve|r4,coverage,0.9025
A,crisismmd,robust,1,curve|r5,fidelity,0.89375
A,crisismmd,robust,1,curve|r5,coverage,0.95125
A,crisismmd,robust,1,curve|r6,fidelity,0.895
A,crisismmd,robust,1,curve|r6,coverage,0.9575
A,crisismmd,robust,1,tree|L2,train,0.4925
A,crisismmd,robust,1,tree|L2,cv,0.46624999999999994
A,crisismmd,robust,1,tree|L3,train,0.73
A,crisismmd,robust,1,tree|L3,cv,0.7275
A,crisismmd,robust,1,tree|L4,train,0.83375
A,crisismmd,robust,1,tree|L4,cv,0.8237499999999999
A,crisismmd,robust,1,tree|L6,train,0.93125
A,crisismmd,robust,1,tree|L6,cv,0.9199999999999999
A,crisismmd,robust,1,tree|L8,train,0.93375
A,crisismmd,robust,1,tree|L8,cv,0.915
A,crisismmd,robust,1,tree|L12,train,0.95
A,crisismmd,robust,1,tree|L12,cv,0.9162500000000001
A,crisismmd,robust,1,tree|L16,train,0.95625
A,crisismmd,robust,1,tree|L16,cv,0.915
A,crisismmd,robust,1,tree|L24,train,0.9675
A,crisismmd,robust,1,tree|L24,cv,0.9087500000000001
B,crisismmd,robust,1,all,n_with_content,800
B,crisismmd,robust,1,all,n_nodes,800
B,crisismmd,robust,1,all,refit_fallback,0
B,crisismmd,robust,1,all,flip_rate_refit,0.11875
B,crisismmd,robust,1,all,flip_rate_seed_noise,0.13
B,crisismmd,robust,1,content_sensitivity,auc_flip,0.45154162000746545
