method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
fcmad|cca,fakeddit@r0.1,2,10,0.21819911038000475,0.41412417350874053,0.5540304725913304,0.579099248849766,0.3525,0.18,1.2,,2.22
fcmad|raw,fakeddit@r0.1,0,10,0.24847207196625276,0.6234133565273565,0.6757271686761886,0.6036884325471777,0.4241666666666667,0.18583333333333332,1.2,,2.47
fcmad|raw,fakeddit@r0.1,2,10,0.246796258028458,0.6406625763753417,0.6776466313391678,0.6112011154142869,0.39666666666666667,0.19,1.2,,2.38
fcmad|raw,fakeddit@r0.1,1,10,0.24498736022299877,0.605170943991278,0.6602702561440482,0.5947484847193535,0.43333333333333335,0.19166666666666668,1.2,,2.44
specsoft|cca,fakeddit@r0.1,0,10,0.2412224198713935,0.42742110150396817,0.5541865407051001,0.9940174573582156,0.009166666666666667,0.22166666666666668,,,2.25
specsoft|cca,fakeddit@r0.1,1,10,0.2217570543234448,0.4429574935489172,0.5516520592630016,0.9915485230760771,0.013333333333333334,0.21916666666666668,,,2.36
specsoft|cca,fakeddit@r0.1,2,10,0.2389665357457188,0.4362330735761648,0.5533244503185865,0.992336703925381,0.0125,0.22083333333333333,,,2.22
specsoft|raw,fakeddit@r0.1,0,10,0.2996766778066309,0.5101472937566827,0.6176048736491264,0.9999306696333812,0.0,0.2925,,,2.39
base:spectral_graph+content,fakeddit@r0.1,0,10,0.29149704654751474,0.5485186436598007,0.6989487958802828,,,,,,0.28
base:spectral_graph+content,fakeddit@r0.1,1,10,0.3020808546511948,0.5397015336881973,0.7033719877541091,,,,,,0.28
base:spectral_graph+content,fakeddit@r0.1,2,10,0.2933225496931202,0.5279695425917831,0.6961720921555745,,,,,,0.39
base:kmeans_content,fakeddit@r0.1,0,10,0.10664300704814919,0.08148429537517676,0.27069755766412107,,,,,,0.74
base:kmeans_content,fakeddit@r0.1,1,10,0.09406611473895361,0.05281184324661137,0.3080640691677653,,,,,,0.66
base:louvain,fakeddit@r0.1,0,5,0.37523264776571136,0.5197647770993059,0.8206804310002696,,,,,,0.2
specsoft|raw,fakeddit@r0.1,1,10,0.281902594829916,0.4887417775887464,0.6050436477913939,0.9995295588615359,0.0008333333333333334,0.2808333333333333,,,2.17
base:louvain,fakeddit@r0.1,1,5,0.36741754203739396,0.5012782128421144,0.8355439609631026,,,,,,0.2
