method,dataset,seed,k_used,modularity,onmi,onmi_hard,ari,f1,extra,error,secs
rem:raw_pca+std,crisismmd@r0.25,0,7,0.20056299102915048,0.2046375585043151,0.2046375585043151,0.4262989449320483,0.3485262305243766,,,0.83
rem:raw_pca+std,crisismmd@r0.25,1,7,0.1888886123486065,0.2321373060969698,0.2321373060969698,0.4622999018704751,0.3591980473600091,,,0.92
rem:raw_pca+std,crisismmd@r0.25,2,7,0.22309766750619592,0.21046840579209136,0.21046840579209136,0.4557630738095551,0.374308353839814,,,1.03
ceil:content_cca,crisismmd@r0.25,0,7,0.02066223366364416,0.08781638440679673,0.08781638440679673,0.11804062639621575,0.29661950387569586,,,1.11
ceil:content_cca,crisismmd@r0.25,1,7,0.021150047310574262,0.09782075577654326,0.09782075577654326,0.14929791951455135,0.3557372417722349,,,0.77
ceil:content_cca,crisismmd@r0.25,2,7,0.03560297145279001,0.11610208605532057,0.11714693602609305,0.11411552817482695,0.2812564416482237,,,0.8
ceil:raw_text,crisismmd@r0.25,0,7,0.09093915426474802,0.14553727255306037,0.14553727255306037,0.2842479130148331,0.3788584618614855,,,0.17
ceil:content_cca_weighted,crisismmd@r0.25,0,7,0.03263913039154147,0.12235280865371578,0.12235280865371578,0.10702779922861487,0.2549566249231949,,,0.94
ceil:raw_text,crisismmd@r0.25,1,7,0.05698426260347689,0.1473022910099231,0.1473022910099231,0.19623250985091392,0.2831476565829228,,,0.23
ceil:content_cca_weighted,crisismmd@r0.25,1,7,0.0078981450955229,0.0410472061266095,0.0410472061266095,0.04081587102707253,0.11088068895037609,,,0.98
ceil:raw_text,crisismmd@r0.25,2,7,0.09958831154879494,0.24646697502270887,0.24646697502270887,0.3021688886666204,0.38214764517052513,,,0.17
ceil:raw_image,crisismmd@r0.25,0,7,-0.013878035622687737,0.0023663540498439772,0.0023663540498439772,0.005571432587442662,0.11417821847878684,,,0.3
ceil:content_cca_weighted,crisismmd@r0.25,2,7,0.012851840720869081,0.03464250854418238,0.03464250854418238,0.035197248200455604,0.12215363622240974,,,0.94
ceil:raw_image,crisismmd@r0.25,1,7,0.002784238489343505,0.0023663540498439772,0.0023663540498439772,0.0036229997770640867,0.10563607783472727,,,0.25
ceil:raw_image,crisismmd@r0.25,2,7,-0.0034832110775346384,0.002240002611341496,0.002240002611341496,0.0051530547443803245,0.11381874004680277,,,0.28
ceil:raw_concat_pca16,crisismmd@r0.25,0,7,-0.0012913346071985517,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.09
ceil:raw_concat_pca16,crisismmd@r0.25,2,7,0.002742130169600387,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.11
ceil:structure,crisismmd@r0.25,0,7,0.2699023367706849,0.16191738340847528,0.13635868710658272,0.27076137172040954,0.4142554743793017,,,0.09
ceil:raw_concat_pca16,crisismmd@r0.25,1,7,-0.005465594581395241,0.0037219124066608655,0.0037219124066608655,0.005370220138383213,0.1108863463170335,,,0.14
ceil:structure,crisismmd@r0.25,1,7,0.2630826333424242,0.13206413475815915,0.12610825318501995,0.2909814756775335,0.3866249467275352,,,0.09
ceil:structure,crisismmd@r0.25,2,7,0.267924273622981,0.12926513286089025,0.101248251113643,0.25485190275991465,0.3754568629555358,,,0.12
base:louvain,crisismmd@r0.25,2,8,0.27566171996829814,0.04366942560358689,0.04366942560358689,0.15783019751371266,0.31286053472356495,,,0.12
base:louvain,crisismmd@r0.25,0,10,0.27089989137343135,0.03996792632973212,0.03996792632973212,0.1688257619450875,0.2890293018769018,,,0.17
base:spectral_graph+content,crisismmd@r0.25,1,7,0.252373525747283,0.7867658407768826,0.7867658407768826,0.8514247907507602,0.9234846479437915,,,0.12
