group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
sweep,crisismmd,1,nfmcd_robust,0.02,7,0.7209307473668862,0.4664852443034705,0.6734510792360443,nan,nan,,0.38
sweep,crisismmd,2,nfmcd_default,0.02,7,0.6942578521435157,0.6428687838400666,0.7603208662372991,nan,nan,,0.92
sweep,crisismmd,1,nfmcd_default,0.02,7,0.7495061627542517,0.4642692976638909,0.7009353634415244,nan,nan,,0.98
sweep,crisismmd,2,nfmcd_robust,0.02,7,0.7253261720302991,0.5674108912952937,0.7450893234953986,nan,nan,,0.38
sweep,crisismmd,0,nfmcd_robust,0.1,7,0.5683542869597757,0.468469928178069,0.6368191103384995,nan,nan,,0.39
sweep,crisismmd,0,nfmcd_default,0.1,7,0.19570598775483172,0.2857291980094705,0.2534768564284682,nan,nan,,0.89
sweep,crisismmd,2,nfmcd_default,0.1,7,0.12351030246634032,0.2295192098558979,0.24819829495579157,nan,nan,,0.78
sweep,crisismmd,1,nfmcd_default,0.1,7,0.15651332895553594,0.2500320468192068,0.23161853084301123,nan,nan,,0.84
sweep,crisismmd,1,nfmcd_robust,0.1,7,0.6725290120553918,0.43496803319473054,0.696616135582313,nan,nan,,0.36
sweep,crisismmd,2,nfmcd_robust,0.1,7,0.6368307126643846,0.4538614395190401,0.754274681244692,nan,nan,,0.36
sweep,crisismmd,0,nfmcd_robust,0.25,7,0.4310789902843569,0.2501084689964892,0.6167872614438716,nan,nan,,0.42
sweep,crisismmd,0,nfmcd_default,0.25,7,0.057915009241260695,0.05728194396087069,0.34620217927918995,nan,nan,,0.83
sweep,crisismmd,1,nfmcd_default,0.25,7,0.08554032161618008,0.07837153844903365,0.3213738325174664,nan,nan,,0.84
sweep,crisismmd,2,nfmcd_default,0.25,7,0.09467060406443739,0.08687040825386476,0.34528397481455547,nan,nan,,0.84
sweep,crisismmd,1,nfmcd_robust,0.25,7,0.37124557874464204,0.24707357969146249,0.5543835456534888,nan,nan,,0.38
sweep,crisismmd,2,nfmcd_robust,0.25,7,0.4062949579621684,0.2479926350562623,0.5972715543513695,nan,nan,,0.47
sweep,crisismmd,0,nfmcd_default,0.5,7,0.031155616546782783,0.025664886677189802,0.16864766718624646,nan,nan,,0.97
sweep,crisismmd,0,nfmcd_robust,0.5,7,0.014636145490285912,0.22756154919275223,0.24458667632214887,nan,nan,,0.55
sweep,crisismmd,1,nfmcd_default,0.5,7,0.06305169871105054,0.019419918181582698,0.3079399682738094,nan,nan,,0.98
sweep,crisismmd,2,nfmcd_default,0.5,7,0.02379184404716106,0.029854730142278605,0.2822150453925213,nan,nan,,0.97
sweep,crisismmd,2,nfmcd_robust,0.5,7,0.0,0.22430727692019103,0.2335436610594504,nan,nan,,0.5
sweep,crisismmd,1,nfmcd_robust,0.5,7,0.12783727998406968,0.20727764128090526,0.36745077430422063,nan,nan,,0.52
sweep,crisismmd,0,nfmcd_robust,1.0,7,0.12041668500568559,0.1981661389880634,0.32707152393165023,nan,nan,,0.44
sweep,crisismmd,0,nfmcd_default,1.0,7,0.04284360283833544,0.025636075914698526,0.26195419143093474,nan,nan,,0.83
sweep,crisismmd,1,nfmcd_default,1.0,7,0.057849034433482216,0.004269162465853715,0.30167715703872894,nan,nan,,0.86
sweep,crisismmd,2,nfmcd_default,1.0,7,0.0,0.027224664754577715,0.263885859791159,nan,nan,,0.83
sweep,crisismmd,2,nfmcd_robust,1.0,7,0.09068734857304106,0.20661202891630262,0.2578692670380627,nan,nan,,0.39
sweep,crisismmd,1,nfmcd_robust,1.0,7,0.10896861384811074,0.1998772862700489,0.3042111274850797,nan,nan,,0.45
sweep,fakeddit,0,nfmcd_robust,0.02,10,0.8600650457662966,0.40384611710045654,0.811614472959479,nan,nan,,0.69
sweep,fakeddit,1,nfmcd_robust,0.02,10,0.8619604005014185,0.4070568876560356,0.753831716163361,nan,nan,,0.66
sweep,fakeddit,0,nfmcd_default,0.02,10,0.3197439068732103,0.31678816717331965,0.30081760138924757,nan,nan,,2.28
sweep,fakeddit,2,nfmcd_robust,0.02,10,0.8378006493565308,0.4014562871076959,0.8134446136883712,nan,nan,,0.69
sweep,fakeddit,2,nfmcd_default,0.02,10,0.476610516362616,0.3631865439659848,0.30163993719446414,nan,nan,,2.25
sweep,fakeddit,1,nfmcd_default,0.02,10,0.2945286623048132,0.29054984294563785,0.3755289557546337,nan,nan,,2.39
sweep,fakeddit,0,nfmcd_robust,0.1,10,0.5588361236139734,0.31783692731916896,0.5288059247082051,nan,nan,,0.72
sweep,fakeddit,1,nfmcd_robust,0.1,10,0.6164543329216248,0.30182329564879484,0.6952450543770891,nan,nan,,0.67
sweep,fakeddit,0,nfmcd_default,0.1,10,0.2118160900309961,0.29348531844103126,0.18229511084428018,nan,nan,,2.39
sweep,fakeddit,2,nfmcd_robust,0.1,10,0.6310500359083203,0.29871442406069226,0.670753277636328,nan,nan,,0.69
sweep,fakeddit,2,nfmcd_default,0.1,10,0.17739385290408238,0.29097554427233113,0.1738325439088338,nan,nan,,2.3
sweep,fakeddit,1,nfmcd_default,0.1,10,0.21630253048218828,0.29407726888932467,0.1815667511771441,nan,nan,,2.53
sweep,fakeddit,0,nfmcd_robust,0.25,10,0.2156520613001851,0.1680509756631757,0.4375974179360118,nan,nan,,0.84
sweep,fakeddit,1,nfmcd_robust,0.25,10,0.24261849247966716,0.17673282947486718,0.4412691255418871,nan,nan,,0.81
sweep,fakeddit,1,nfmcd_default,0.25,10,0.10501871252790895,0.15293420507737737,0.1390845708223233,nan,nan,,2.2
