exp,dataset,variant,seed,cond,metric,value
E2,crisismmd,default,1,all,flip_content,0.03125
E2,crisismmd,default,1,all,flip_structure,0.54125
E2,crisismmd,default,1,all,alpha_std,0.09079683893403415
E2,crisismmd,default,1,all,flip_content_T1,0.02247191011235955
E2,crisismmd,default,1,all,flip_structure_T1,0.6554307116104869
E2,crisismmd,default,1,all,alpha_mean_T1,0.504212211892214
E2,crisismmd,default,1,all,flip_content_T2,0.033707865168539325
E2,crisismmd,default,1,all,flip_structure_T2,0.4868913857677903
E2,crisismmd,default,1,all,alpha_mean_T2,0.6366272022131488
E2,crisismmd,default,1,all,flip_content_T3,0.03759398496240601
E2,crisismmd,default,1,all,flip_structure_T3,0.48120300751879697
E2,crisismmd,default,1,all,alpha_mean_T3,0.6683934423990675
E1,crisismmd,default,1,rules,n_rules,5.0
E1,crisismmd,default,1,rules,fidelity,0.315
E1,crisismmd,default,1,rules,coverage,1.0
E1,crisismmd,default,1,rules,majority_covered,0.26
E1,crisismmd,default,1,rules,majority_all,0.26
E1,crisismmd,default,1,rules,lift_pts,0.05499999999999999
E1,crisismmd,default,1,tree_A_L2,fit_acc,0.32875
E1,crisismmd,default,1,tree_A_L2,cv_acc,0.3275
E1,crisismmd,default,1,tree_A_L3,fit_acc,0.32875
E1,crisismmd,default,1,tree_A_L3,cv_acc,0.31625000000000003
E1,crisismmd,default,1,tree_A_L4,fit_acc,0.34125
E1,crisismmd,default,1,tree_A_L4,cv_acc,0.32125
E1,crisismmd,default,1,tree_A_L6,fit_acc,0.34875
E1,crisismmd,default,1,tree_A_L6,cv_acc,0.2975
E1,crisismmd,default,1,tree_A_L8,fit_acc,0.34875
E1,crisismmd,default,1,tree_A_L8,cv_acc,0.29375
E1,crisismmd,default,1,tree_A_L12,fit_acc,0.35875
E1,crisismmd,default,1,tree_A_L12,cv_acc,0.29125
E1,crisismmd,default,1,tree_A_L16,fit_acc,0.3775
E1,crisismmd,default,1,tree_A_L16,cv_acc,0.28500000000000003
E1,crisismmd,default,1,tree_A_L24,fit_acc,0.38875
E1,crisismmd,default,1,tree_A_L24,cv_acc,0.27375
E1,crisismmd,default,1,tree_A_L32,fit_acc,0.4075
E1,crisismmd,default,1,tree_A_L32,cv_acc,0.2775
E1,crisismmd,default,1,tree_B_L2,fit_acc,0.51
E1,crisismmd,default,1,tree_B_L2,cv_acc,0.46875
E1,crisismmd,default,1,tree_B_L3,fit_acc,0.75375
E1,crisismmd,default,1,tree_B_L3,cv_acc,0.7462500000000001
E1,crisismmd,default,1,tree_B_L4,fit_acc,0.97125
E1,crisismmd,default,1,tree_B_L4,cv_acc,0.9637500000000001
E1,crisismmd,default,1,tree_B_L6,fit_acc,0.97875
E1,crisismmd,default,1,tree_B_L6,cv_acc,0.9675
E1,crisismmd,default,1,tree_B_L8,fit_acc,0.98
E1,crisismmd,default,1,tree_B_L8,cv_acc,0.9662499999999999
E1,crisismmd,default,1,tree_B_L12,fit_acc,0.98625
E1,crisismmd,default,1,tree_B_L12,cv_acc,0.9650000000000001
E1,crisismmd,default,1,tree_B_L16,fit_acc,0.9875
E1,crisismmd,default,1,tree_B_L16,cv_acc,0.96
E1,crisismmd,default,1,tree_B_L24,fit_acc,0.9925
E1,crisismmd,default,1,tree_B_L24,cv_acc,0.95625
E1,crisismmd,default,1,tree_B_L32,fit_acc,0.9975
E1,crisismmd,default,1,tree_B_L32,cv_acc,0.9550000000000001
E1,crisismmd,default,1,tree_C_L2,fit_acc,0.51
E1,crisismmd,default,1,tree_C_L2,cv_acc,0.46875
E1,crisismmd,default,1,tree_C_L3,fit_acc,0.75375
E1,crisismmd,default,1,tree_C_L3,cv_acc,0.7462500000000001
E1,crisismmd,default,1,tree_C_L4,fit_acc,0.97125
E1,crisismmd,default,1,tree_C_L4,cv_acc,0.9637500000000001
E1,crisismmd,default,1,tree_C_L6,fit_acc,0.97875
E1,crisismmd,default,1,tree_C_L6,cv_acc,0.9675
E1,crisismmd,default,1,tree_C_L8,fit_acc,0.98
E1,crisismmd,default,1,tree_C_L8,cv_acc,0.97
E1,crisismmd,default,1,tree_C_L12,fit_acc,0.985
E1,crisismmd,default,1,tree_C_L12,cv_acc,0.96875
E1,crisismmd,default,1,tree_C_L16,fit_acc,0.9875
E1,crisismmd,default,1,tree_C_L16,cv_acc,0.9662500000000002
E1,crisismmd,default,1,tree_C_L24,fit_acc,0.9925
E1,crisismmd,default,1,tree_C_L24,cv_acc,0.9637500000000001
E1,crisismmd,default,1,tree_C_L32,fit_acc,0.99375
E1,crisismmd,default,1,tree_C_L32,cv_acc,0.9637500000000001
E1,crisismmd,default,1,tree,majority_all,0.26
_,crisismmd,default,1,core|crisismmd|default|1,_done,2.89
E2,crisismmd,default,4,all,recon_maxabs,4.440892098500626e-16
E2,crisismmd,default,4,all,n_with_content,800
E2,crisismmd,default,4,all,n_nodes,800
E2,crisismmd,default,4,all,flip_content_mean,0.03375
E2,crisismmd,default,4,all,flip_structure_mean,0.5525
E2,crisismmd,default,4,all,spearman_alpha_delta_mean,0.496465525727384
E2,crisismmd,default,4,all,spearman_alpha_delta,0.5037062948535858
E2,crisismmd,default,4,all,spearman_posthoc_delta,-0.3079907937356152
E2,crisismmd,default,4,all,spearman_normshare_delta,0.5074714647991638
E2,crisismmd,default,4,all,spearman_alpha_tvc,0.1636124978320279
E2,crisismmd,default,4,all,spearman_alpha_tvs,-0.340271898862342
E2,crisismmd,default,4,all,mean_tv_content,0.2014062374768862
E2,crisismmd,default,4,all,mean_tv_structure,0.12457799336289282
E2,crisismmd,default,4,all,flip_content,0.03625
E2,crisismmd,default,4,all,flip_structure,0.5575
E2,crisismmd,default,4,all,alpha_std,0.09624256629562518
E2,crisismmd,default,4,all,flip_content_T1,0.026217228464419477
E2,crisismmd,default,4,all,flip_structure_T1,0.6591760299625468
E2,crisismmd,default,4,all,alpha_mean_T1,0.49342504631296974
E2,crisismmd,default,4,all,flip_content_T2,0.04119850187265917
E2,crisismmd,default,4,all,flip_structure_T2,0.5131086142322098
E2,crisismmd,default,4,all,alpha_mean_T2,0.6358229731574924
E2,crisismmd,default,4,all,flip_content_T3,0.041353383458646614
E2,crisismmd,default,4,all,flip_structure_T3,0.5
E2,crisismmd,default,4,all,alpha_mean_T3,0.6683478005992176
