dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.37109668041211513,0.177624860049167,0.196864691586422,,4.14
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3698755944234757,0.23692802073441344,0.13871706929118205,,3.78
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3719943089841449,0.2411881853382245,0.14054553138037712,,3.77
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.6540630593922427,0.007571284059447514,0.1351560655471412,,5.08
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4494399727959473,0.3333258577918621,0.3740059791114224,,1.25
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.37866914681632796,0.303628613727146,0.3335859784459961,,1.23
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4647993389428583,0.36408319860068283,0.36959038349376827,,1.23
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7162238834726303,0.00964536038738073,0.15171220033439534,,7.78
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.49376165623328366,0.02855920332997841,0.08889747818231188,,2.81
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.8494612819961844,0.6144158312954048,0.7225782861399686,,0.09
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.8494612819961844,0.6144158312954048,0.7225782861399686,,0.08
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.8494612819961844,0.6144158312954048,0.7225782861399686,,0.08
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7172353714661406,0.40785789140422535,0.7538909356671685,,0.03
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7172353714661406,0.40785789140422535,0.7538909356671685,,0.03
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.6683464825772517,0.3433903355104311,0.7006634990430669,,0.02
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4954499199092669,0.013289870502103174,0.07237739427252067,,2.97
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4957474756445393,0.01690365701791441,0.0808915220624298,,4.06
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.3698755944234757,0.23692802073441344,0.13871706929118205,,3.31
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.3750100724098048,0.328447178973614,0.13741931954928344,,4.02
crisismmd,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.46672735254455,0.35108872679375525,0.3916626828536887,,1.47
crisismmd,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.46899673466857045,0.3786420255584153,0.3875388402646216,,1.64
crisismmd,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.521436788502673,0.6295417164840162,0.5083980660664844,,1.17
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.37186520950061347,0.3191207171010866,0.13698264020844667,,2.72
pheme,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.874291627044202,0.013786131858223194,0.23892034367360193,,2.88
crisismmd,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5261484439105307,0.5919002438478866,0.6483071736295839,,1.44
fakeddit,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.27314634995330267,0.2716728036165196,0.19460752711181106,,3.67
pheme,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.8801347542443367,0.012861962632682689,0.241445595527311,,3.83
fakeddit,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.2656421092211253,0.293724402495685,0.19987701106537306,,4.19
fakeddit,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.3272689744659498,0.3386178790576194,0.20000626835723517,,3.69
crisismmd,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5121833147500613,0.6211249257370403,0.7571557610833983,,1.06
crisismmd,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5119282767560522,0.6276308888777835,0.7636450357247996,,1.14
pheme,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.8719346374644061,0.0,0.2279484869871381,,6.58
fakeddit,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.3163528998070474,0.35616611530551057,0.3091435337588021,,3.98
fakeddit,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.2880412343196174,0.2899446338864944,0.27739469746008066,,4.42
