rate,blend,method,seed,threshold,precision,recall,f1
0.1,0.5,nfmcd_robust,2,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_default,3,0.05,0.11374407582938388,0.9230769230769231,0.20253164556962025
0.1,0.5,nfmcd_default,3,0.1,0.21518987341772153,0.6538461538461539,0.3238095238095238
0.1,0.5,nfmcd_default,3,0.15,0.4,0.38461538461538464,0.39215686274509803
0.1,0.5,nfmcd_default,3,0.2,1.0,0.2692307692307692,0.42424242424242425
0.1,0.5,nfmcd_default,3,0.25,1.0,0.15384615384615385,0.2666666666666667
0.1,0.5,nfmcd_default,3,0.3,1.0,0.038461538461538464,0.07407407407407407
0.1,0.5,nfmcd_default,3,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_default,3,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,3,0.05,0.234375,0.5769230769230769,0.3333333333333333
0.1,0.5,nfmcd_robust,3,0.1,0.38461538461538464,0.38461538461538464,0.38461538461538464
0.1,0.5,nfmcd_robust,3,0.15,0.625,0.19230769230769232,0.29411764705882354
0.1,0.5,nfmcd_robust,3,0.2,1.0,0.15384615384615385,0.2666666666666667
0.1,0.5,nfmcd_robust,3,0.25,1.0,0.11538461538461539,0.20689655172413793
0.1,0.5,nfmcd_robust,3,0.3,1.0,0.11538461538461539,0.20689655172413793
0.1,0.5,nfmcd_robust,3,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,3,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_default,4,0.05,0.11731843575418995,0.8076923076923077,0.2048780487804878
0.1,0.5,nfmcd_default,4,0.1,0.2692307692307692,0.5384615384615384,0.3589743589743589
0.1,0.5,nfmcd_default,4,0.15,0.5,0.2692307692307692,0.35000000000000003
0.1,0.5,nfmcd_default,4,0.2,0.8,0.15384615384615385,0.25806451612903225
0.1,0.5,nfmcd_default,4,0.25,1.0,0.11538461538461539,0.20689655172413793
0.1,0.5,nfmcd_default,4,0.3,1.0,0.038461538461538464,0.07407407407407407
0.1,0.5,nfmcd_default,4,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_default,4,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,4,0.05,0.16981132075471697,0.34615384615384615,0.2278481012658228
0.1,0.5,nfmcd_robust,4,0.1,0.3333333333333333,0.19230769230769232,0.2439024390243902
0.1,0.5,nfmcd_robust,4,0.15,0.8,0.15384615384615385,0.25806451612903225
0.1,0.5,nfmcd_robust,4,0.2,1.0,0.15384615384615385,0.2666666666666667
0.1,0.5,nfmcd_robust,4,0.25,1.0,0.11538461538461539,0.20689655172413793
0.1,0.5,nfmcd_robust,4,0.3,1.0,0.11538461538461539,0.20689655172413793
0.1,0.5,nfmcd_robust,4,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,4,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_default,0,0.05,0.0979381443298969,0.7916666666666666,0.1743119266055046
0.1,0.7,nfmcd_default,0,0.1,0.2054794520547945,0.625,0.30927835051546393
0.1,0.7,nfmcd_default,0,0.15,0.55,0.4583333333333333,0.5
0.1,0.7,nfmcd_default,0,0.2,0.6666666666666666,0.25,0.36363636363636365
0.1,0.7,nfmcd_default,0,0.25,1.0,0.08333333333333333,0.15384615384615385
0.1,0.7,nfmcd_default,0,0.3,1.0,0.041666666666666664,0.07999999999999999
0.1,0.7,nfmcd_default,0,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_default,0,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,0,0.05,0.19696969696969696,0.5416666666666666,0.2888888888888889
0.1,0.7,nfmcd_robust,0,0.1,0.36363636363636365,0.3333333333333333,0.34782608695652173
0.1,0.7,nfmcd_robust,0,0.15,0.6,0.25,0.35294117647058826
0.1,0.7,nfmcd_robust,0,0.2,1.0,0.16666666666666666,0.2857142857142857
0.1,0.7,nfmcd_robust,0,0.25,1.0,0.16666666666666666,0.2857142857142857
0.1,0.7,nfmcd_robust,0,0.3,1.0,0.08333333333333333,0.15384615384615385
0.1,0.7,nfmcd_robust,0,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,0,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_default,2,0.05,0.1013215859030837,0.9583333333333334,0.18326693227091634
0.1,0.7,nfmcd_default,2,0.1,0.2054794520547945,0.625,0.30927835051546393
0.1,0.7,nfmcd_default,2,0.15,0.38095238095238093,0.3333333333333333,0.35555555555555557
0.1,0.7,nfmcd_default,2,0.2,0.4,0.25,0.3076923076923077
0.1,0.7,nfmcd_default,2,0.25,0.5,0.125,0.2
0.1,0.7,nfmcd_default,2,0.3,0.5,0.08333333333333333,0.14285714285714285
0.1,0.7,nfmcd_default,2,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_default,2,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,2,0.05,0.19444444444444445,0.5833333333333334,0.2916666666666667
0.1,0.7,nfmcd_robust,2,0.1,0.2692307692307692,0.2916666666666667,0.27999999999999997
0.1,0.7,nfmcd_robust,2,0.15,0.4,0.25,0.3076923076923077
0.1,0.7,nfmcd_robust,2,0.2,0.6,0.125,0.20689655172413793
0.1,0.7,nfmcd_robust,2,0.25,0.6666666666666666,0.08333333333333333,0.14814814814814814
0.1,0.7,nfmcd_robust,2,0.3,1.0,0.08333333333333333,0.15384615384615385
0.1,0.7,nfmcd_robust,2,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,2,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_default,1,0.05,0.08796296296296297,1.0,0.16170212765957445
0.1,0.7,nfmcd_default,1,0.1,0.2,0.8421052631578947,0.32323232323232326
0.1,0.7,nfmcd_default,1,0.15,0.47619047619047616,0.5263157894736842,0.5
