diagnostic,dataset,seed,variant,metric,value
d4_confidence,fakeddit,0,all,cca_fused_acc_agq2,0.298246
d4_confidence,fakeddit,0,all,agq2_mean_agreement,0.847640
d4_confidence,fakeddit,0,all,cca_fused_acc_agq3,0.311189
d4_confidence,fakeddit,0,all,agq3_mean_agreement,0.909716
d4_confidence,fakeddit,0,all,cca_fused_acc_agq4,0.321678
d4_confidence,fakeddit,0,all,agq4_mean_agreement,0.957251
d4_confidence,fakeddit,0,all,raw_text_acc_overall,0.368329
d4_confidence,fakeddit,0,all,raw_text_spearman_agreement,0.129452
d4_confidence,fakeddit,0,all,raw_text_spearman_conf,0.129452
d4_confidence,fakeddit,0,all,raw_text_acc_agq1,0.283217
d4_confidence,fakeddit,0,all,raw_text_acc_agq2,0.343860
d4_confidence,fakeddit,0,all,raw_text_acc_agq3,0.412587
d4_confidence,fakeddit,0,all,raw_text_acc_agq4,0.433566
d4_confidence,fakeddit,1,all,cca_fused_acc_overall,0.280840
d4_confidence,fakeddit,1,all,cca_fused_spearman_agreement,-0.039011
d4_confidence,fakeddit,1,all,cca_fused_spearman_conf,-0.039011
d4_confidence,fakeddit,1,all,cca_fused_acc_agq1,0.332168
d4_confidence,fakeddit,1,all,agq1_mean_agreement,0.664615
d4_confidence,fakeddit,1,all,cca_fused_acc_agq2,0.242105
d4_confidence,fakeddit,1,all,agq2_mean_agreement,0.848424
d4_confidence,fakeddit,1,all,cca_fused_acc_agq3,0.272727
d4_confidence,fakeddit,1,all,agq3_mean_agreement,0.908970
d4_confidence,fakeddit,1,all,cca_fused_acc_agq4,0.276224
d4_confidence,fakeddit,1,all,agq4_mean_agreement,0.957011
d4_confidence,fakeddit,1,all,raw_text_acc_overall,0.369204
d4_confidence,fakeddit,1,all,raw_text_spearman_agreement,0.027741
d4_confidence,fakeddit,1,all,raw_text_spearman_conf,0.027741
d4_confidence,fakeddit,1,all,raw_text_acc_agq1,0.353147
d4_confidence,fakeddit,1,all,raw_text_acc_agq2,0.385965
d4_confidence,fakeddit,1,all,raw_text_acc_agq3,0.360140
d4_confidence,fakeddit,1,all,raw_text_acc_agq4,0.377622
d4_confidence,fakeddit,2,all,cca_fused_acc_overall,0.289589
d4_confidence,fakeddit,2,all,cca_fused_spearman_agreement,0.009318
d4_confidence,fakeddit,2,all,cca_fused_spearman_conf,0.009318
d4_confidence,fakeddit,2,all,cca_fused_acc_agq1,0.318182
d4_confidence,fakeddit,2,all,agq1_mean_agreement,0.678899
d4_confidence,fakeddit,2,all,cca_fused_acc_agq2,0.238596
d4_confidence,fakeddit,2,all,agq2_mean_agreement,0.851884
d4_confidence,fakeddit,2,all,cca_fused_acc_agq3,0.279720
d4_confidence,fakeddit,2,all,agq3_mean_agreement,0.911297
d4_confidence,fakeddit,2,all,cca_fused_acc_agq4,0.321678
d4_confidence,fakeddit,2,all,agq4_mean_agreement,0.955318
d4_confidence,fakeddit,2,all,raw_text_acc_overall,0.356080
d4_confidence,fakeddit,2,all,raw_text_spearman_agreement,-0.002292
d4_confidence,fakeddit,2,all,raw_text_spearman_conf,-0.002292
d4_confidence,fakeddit,2,all,raw_text_acc_agq1,0.342657
d4_confidence,fakeddit,2,all,raw_text_acc_agq2,0.378947
d4_confidence,fakeddit,2,all,raw_text_acc_agq3,0.356643
d4_confidence,fakeddit,2,all,raw_text_acc_agq4,0.346154
d6_agreement,fakeddit,0,full,n,1143.000000
d6_agreement,fakeddit,0,full,mean,0.842475
d6_agreement,fakeddit,0,full,sd,0.137369
d6_agreement,fakeddit,0,full,q05,0.574008
d6_agreement,fakeddit,0,full,q25,0.798437
d6_agreement,fakeddit,0,full,q50,0.884055
d6_agreement,fakeddit,0,full,q75,0.933813
d6_agreement,fakeddit,0,full,q95,0.971349
d6_agreement,fakeddit,0,full,bimodality_coef,0.593812
d6_agreement,fakeddit,0,full,bic_gain_2_vs_1,643.777412
d7_mixed_space,fakeddit,0,all,n_single,57.000000
d7_mixed_space,fakeddit,0,all,onmi_asis,0.324045
d7_mixed_space,fakeddit,0,all,onmi_zeroed,0.369095
d7_mixed_space,fakeddit,0,all,onmi_projected,0.287488
d7_mixed_space,fakeddit,1,all,n_single,57.000000
d7_mixed_space,fakeddit,1,all,onmi_asis,0.364141
d7_mixed_space,fakeddit,1,all,onmi_zeroed,0.364251
d7_mixed_space,fakeddit,1,all,onmi_projected,0.280118
d7_mixed_space,fakeddit,2,all,n_single,57.000000
d7_mixed_space,fakeddit,2,all,onmi_asis,0.259944
d7_mixed_space,fakeddit,2,all,onmi_zeroed,0.340393
d7_mixed_space,fakeddit,2,all,onmi_projected,0.336221
d5_cca,fakeddit,0,"cd=2,div=16",onmi,0.465914
d5_cca,fakeddit,0,"cd=2,div=16",alpha_mean,0.507904
