rate,blend,condition,seed,n_nodes,n_overlap,onmi_standard,strict_acc_all,lenient_acc_all,strict_acc_overlap,lenient_acc_overlap,strict_acc_nonoverlap,frac_hard_c1,frac_hard_c2,frac_hard_neither,mean_degree_overlap,mean_degree_nonoverlap,spearman_degree_vs_strict_correct,note,error,secs
0.4,0.7,edge_only,2,300,91,0.6182,0.97,0.9867,0.9341,0.989,0.9856,0.9341,0.0549,0.011,22.033,18.062,-0.0894,,,0.11
0.4,0.7,content_only,2,300,91,0.6353,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.89,15.172,,,,0.14
0.4,0.7,combined,3,300,97,0.6924,0.9667,0.9933,0.9175,1.0,0.9901,0.9175,0.0825,0.0,22.732,17.995,-0.1185,,,0.11
0.4,0.7,edge_only,3,300,97,0.6633,0.9867,0.9933,0.9794,1.0,0.9901,0.9794,0.0206,0.0,22.732,17.995,-0.0432,,,0.11
0.4,0.7,content_only,3,300,97,0.6467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.278,15.369,,,,0.14
0.4,0.7,combined,4,300,95,0.6861,0.96,0.9867,0.9158,1.0,0.9805,0.9158,0.0842,0.0,21.842,18.161,-0.0826,,,0.12
0.4,0.7,edge_only,4,300,95,0.6275,0.98,0.9867,0.9789,1.0,0.9805,0.9789,0.0211,0.0,21.842,18.161,-0.0222,,,0.14
0.4,0.7,content_only,4,300,95,0.6518,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,14.884,15.161,0.0892,,,0.12
0.4,1.0,combined,0,300,101,0.7193,0.91,0.9967,0.7426,1.0,0.995,0.7426,0.2574,0.0,24.95,20.03,-0.3224,,,0.12
0.4,1.0,edge_only,0,300,101,0.6548,0.9567,0.9933,0.8911,1.0,0.9899,0.8911,0.1089,0.0,24.95,20.03,-0.2358,,,0.12
0.4,1.0,content_only,0,300,101,0.6602,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.04,15.704,,,,0.11
0.4,1.0,combined,1,300,92,0.6994,0.8967,0.97,0.7391,0.9783,0.9663,0.7391,0.2391,0.0217,25.391,19.462,-0.2794,,,0.12
0.4,1.0,edge_only,1,300,92,0.6236,0.9567,0.97,0.9348,0.9783,0.9663,0.9348,0.0435,0.0217,25.391,19.462,-0.1338,,,0.16
0.4,1.0,content_only,1,300,92,0.6732,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.478,15.163,,,,0.11
0.4,1.0,combined,2,300,91,0.7078,0.8967,0.98,0.6923,0.967,0.9856,0.6923,0.2747,0.033,24.319,19.144,-0.3151,,,0.16
0.4,1.0,edge_only,2,300,91,0.6192,0.9633,0.9833,0.9231,0.989,0.9809,0.9231,0.0659,0.011,24.319,19.144,-0.1569,,,0.11
0.4,1.0,content_only,2,300,91,0.6232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.89,15.172,,,,0.12
0.4,1.0,combined,3,300,97,0.7245,0.9133,0.9933,0.7526,1.0,0.9901,0.7526,0.2474,0.0,25.134,19.153,-0.3405,,,0.14
0.4,1.0,edge_only,3,300,97,0.656,0.9633,0.9933,0.9072,1.0,0.9901,0.9072,0.0928,0.0,25.134,19.153,-0.2166,,,0.11
0.4,1.0,content_only,3,300,97,0.6518,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.278,15.369,,,,0.11
0.4,1.0,combined,4,300,95,0.7038,0.8933,0.9733,0.7263,0.9789,0.9707,0.7263,0.2526,0.0211,24.516,19.459,-0.2872,,,0.12
0.4,1.0,edge_only,4,300,95,0.6199,0.9533,0.98,0.9158,1.0,0.9707,0.9158,0.0842,0.0,24.516,19.459,-0.1601,,,0.11
0.4,1.0,content_only,4,300,95,0.662,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,14.884,15.161,0.0892,,,0.12
