dataset,mode,p,method,mask_seed,seed,k_used,onmi,modularity,f1,frac_nocontent,frac_no_text,frac_no_image,mean_conf,mean_alpha,fl_both,fl_text,fl_image,fl_none,fl_unaligned,error,secs
crisismmd,image,0.20,kmeans_content,2,1,7,0.2474039369496368,0.11511223115110872,0.49145394679973203,0.0,0.0,0.20375,nan,nan,nan,nan,nan,nan,nan,,0.2
crisismmd,image,0.20,kmeans_content,2,0,7,0.2888526393663551,0.14107738742191606,0.49123042320995397,0.0,0.0,0.20375,nan,nan,nan,nan,nan,nan,nan,,0.28
crisismmd,image,0.20,nfmcd_all_changes,3,0,7,0.6386426505517664,0.5249568023122106,0.7365486990889386,0.0,0.0,0.22,0.38875,0.3249375,0.78,0.22,0.0,0.0,0.0,,0.24
crisismmd,image,0.20,nfmcd_all_changes,3,1,7,0.7249453442677555,0.39638681950593835,0.6325332570868286,0.0,0.0,0.22,0.38875,0.3249375,0.78,0.22,0.0,0.0,0.0,,0.31
crisismmd,image,0.20,nfmcd_full,3,0,7,0.6029088207907572,0.5269473412226369,0.616401941595613,0.0,0.0,0.22,0.4996399906995477,0.49974799348968335,0.78,0.22,0.0,0.0,0.0,,0.55
crisismmd,image,0.20,nfmcd_full,3,1,7,0.5674649756045251,0.5279962560957993,0.6114449099811051,0.0,0.0,0.22,0.5018671652171173,0.5013070156519821,0.78,0.22,0.0,0.0,0.0,,0.62
crisismmd,image,0.20,spectral_graph+content,3,0,7,0.8949405883960188,0.5216522278317658,0.962586807642368,0.0,0.0,0.22,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.20,nfmcd_rank16,3,0,7,0.6914092714648211,0.4629458369335765,0.6911106967335943,0.0,0.0,0.22,0.35416130440068444,0.3979129130804791,0.78,0.22,0.0,0.0,0.0,,0.22
crisismmd,image,0.20,spectral_graph+content,3,1,7,0.8949405883960188,0.5216522278317658,0.962586807642368,0.0,0.0,0.22,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.20,nfmcd_rank16,3,1,7,0.720166081678877,0.41324543336188985,0.6403523150499922,0.0,0.0,0.22,0.35427770155477945,0.3979943910883456,0.78,0.22,0.0,0.0,0.0,,0.22
crisismmd,image,0.20,kmeans_content,3,1,7,0.24681402044277911,0.12884537447221128,0.465420109572507,0.0,0.0,0.22,nan,nan,nan,nan,nan,nan,nan,,0.25
crisismmd,image,0.20,kmeans_content,3,0,7,0.25449718334657434,0.12649397102482224,0.46750390941584496,0.0,0.0,0.22,nan,nan,nan,nan,nan,nan,nan,,0.27
crisismmd,image,0.20,nfmcd_all_changes,4,1,7,0.6436792258757755,0.3509955999670492,0.5918563982210394,0.0,0.0,0.18875,0.40375,0.33168749999999997,0.81125,0.18875,0.0,0.0,0.0,,0.27
crisismmd,image,0.20,nfmcd_all_changes,4,0,7,0.7290830122461006,0.38589327789548133,0.6361719627522737,0.0,0.0,0.18875,0.40375,0.33168749999999997,0.81125,0.18875,0.0,0.0,0.0,,0.3
crisismmd,image,0.20,nfmcd_full,4,1,7,0.5944568704479578,0.5243842637708698,0.6231419463825213,0.0,0.0,0.18875,0.5164764480468449,0.5115335136327914,0.81125,0.18875,0.0,0.0,0.0,,0.59
crisismmd,image,0.20,nfmcd_full,4,0,7,0.561717854841233,0.5242056827870397,0.6187589889980322,0.0,0.0,0.18875,0.5243990315996032,0.5170793221197222,0.81125,0.18875,0.0,0.0,0.0,,0.62
crisismmd,image,0.20,nfmcd_rank16,4,1,7,0.7321722683843814,0.3995876802089638,0.6466404372437736,0.0,0.0,0.18875,0.3627411851454414,0.4039188296018089,0.81125,0.18875,0.0,0.0,0.0,,0.22
crisismmd,image,0.20,nfmcd_rank16,4,0,7,0.6747546154471806,0.46072385606401994,0.6951422481363797,0.0,0.0,0.18875,0.360419785325121,0.4022938497275847,0.81125,0.18875,0.0,0.0,0.0,,0.27
crisismmd,image,0.20,spectral_graph+content,4,0,7,0.9174601965644921,0.5247852290160442,0.9713485951254324,0.0,0.0,0.18875,nan,nan,nan,nan,nan,nan,nan,,0.12
crisismmd,image,0.20,spectral_graph+content,4,1,7,0.9174601965644921,0.5247852290160442,0.9713485951254324,0.0,0.0,0.18875,nan,nan,nan,nan,nan,nan,nan,,0.12
crisismmd,image,0.20,kmeans_content,4,0,7,0.2717191852247508,0.12360519298523352,0.48354329112256755,0.0,0.0,0.18875,nan,nan,nan,nan,nan,nan,nan,,0.27
crisismmd,image,0.20,kmeans_content,4,1,7,0.27969398837057347,0.13314817837146442,0.4808317086077774,0.0,0.0,0.18875,nan,nan,nan,nan,nan,nan,nan,,0.28
crisismmd,image,0.40,nfmcd_full,0,0,7,0.5837673291025054,0.5232619250657708,0.6314969939698651,0.0,0.0,0.39875,0.385717173616209,0.42000202153134625,0.60125,0.39875,0.0,0.0,0.0,,0.39
crisismmd,image,0.40,nfmcd_full,0,1,7,0.5792545617380769,0.5239733204152015,0.6313601312304093,0.0,0.0,0.39875,0.3900616068065718,0.42304312476460026,0.60125,0.39875,0.0,0.0,0.0,,0.39
crisismmd,image,0.40,nfmcd_all_changes,0,0,7,0.6509565831545601,0.40594712538585687,0.6307803217531769,0.0,0.0,0.39875,0.29875,0.28443749999999995,0.60125,0.39875,0.0,0.0,0.0,,0.22
crisismmd,image,0.40,nfmcd_all_changes,0,1,7,0.6727881863065353,0.4662596155411016,0.7277789779560744,0.0,0.0,0.39875,0.29875,0.28443749999999995,0.60125,0.39875,0.0,0.0,0.0,,0.2
crisismmd,image,0.40,spectral_graph+content,0,0,7,0.9152516409534259,0.5217166985582697,0.9722951677945867,0.0,0.0,0.39875,nan,nan,nan,nan,nan,nan,nan,,0.12
crisismmd,image,0.40,spectral_graph+content,0,1,7,0.9152516409534259,0.5217166985582697,0.9722951677945867,0.0,0.0,0.39875,nan,nan,nan,nan,nan,nan,nan,,0.11
crisismmd,image,0.40,nfmcd_rank16,0,1,7,0.6556270970735538,0.4458435019762307,0.6849999937244784,0.0,0.0,0.39875,0.2593076604110606,0.3315153622877423,0.60125,0.39875,0.0,0.0,0.0,,0.19
crisismmd,image,0.40,nfmcd_rank16,0,0,7,0.6332324218662271,0.5234491453779739,0.7314254668225212,0.0,0.0,0.39875,0.2580894858288636,0.3306626400802045,0.60125,0.39875,0.0,0.0,0.0,,0.23
crisismmd,image,0.40,kmeans_content,0,1,7,0.20170941792430452,0.09170364668770031,0.410850944363452,0.0,0.0,0.39875,nan,nan,nan,nan,nan,nan,nan,,0.23
crisismmd,image,0.40,kmeans_content,0,0,7,0.16194727657664876,0.0850352566179661,0.3983197016365191,0.0,0.0,0.39875,nan,nan,nan,nan,nan,nan,nan,,0.27
crisismmd,image,0.40,nfmcd_full,1,0,7,0.585952002824015,0.5251655268122287,0.6282823320344599,0.0,0.0,0.395,0.3887228192803167,0.4221059734962217,0.605,0.395,0.0,0.0,0.0,,0.41
crisismmd,image,0.40,nfmcd_all_changes,1,0,7,0.6780948268975905,0.4047278295693544,0.6373444551972447,0.0,0.0,0.395,0.300625,0.28528124999999993,0.605,0.395,0.0,0.0,0.0,,0.22
crisismmd,image,0.40,nfmcd_all_changes,1,1,7,0.6687111192003317,0.46125229846925747,0.7249076971513941,0.0,0.0,0.395,0.300625,0.28528124999999993,0.605,0.395,0.0,0.0,0.0,,0.22
crisismmd,image,0.40,nfmcd_full,1,1,7,0.5762827992333649,0.5179523988486306,0.6326109527111002,0.0,0.0,0.395,0.38739595796379817,0.42117717057465875,0.605,0.395,0.0,0.0,0.0,,0.45
crisismmd,image,0.40,spectral_graph+content,1,0,7,0.9061680281905108,0.5224981498658645,0.9683067984511181,0.0,0.0,0.395,nan,nan,nan,nan,nan,nan,nan,,0.09
