method,dataset,seed,k_used,modularity,onmi,f1,note,error,secs
base:louvain,crisismmd@r0.02,2,9,0.6577891503540191,0.5780598683323365,0.6754005480204197,homophily=0.928 edges=4900,,0.08
base:louvain,fakeddit_real_full,0,383,0.9411252369810245,0.10068204000507441,0.30641084085815645,homophily=0.887 edges=13108,,1.36
base:louvain,crisismmd@r0.1,0,5,0.4767531462363063,0.6416753864813456,0.9046601716549623,homophily=0.724 edges=4908,,0.17
base:louvain,crisismmd@r0.1,1,6,0.4568103738977049,0.3964962817979135,0.6392845570178253,homophily=0.715 edges=4924,,0.12
base:louvain,fakeddit_real_full,1,382,0.9410351046897636,0.10079728807818,0.30403253673415487,homophily=0.887 edges=13108,,1.14
base:louvain,crisismmd@r0.1,2,5,0.4741745013191766,0.5530382581428894,0.8533822622234464,homophily=0.717 edges=4921,,0.09
base:louvain,crisismmd@r0.25,2,8,0.27566171996829814,0.04366942560358689,0.31286053472356495,homophily=0.503 edges=4946,,0.14
base:louvain,crisismmd@r0.25,1,9,0.27843986317145386,0.07358249793445104,0.3397149732661425,homophily=0.500 edges=4979,,0.16
base:louvain,crisismmd@r0.25,0,10,0.27089989137343135,0.03996792632973212,0.2890293018769018,homophily=0.506 edges=4943,,0.22
base:louvain,crisismmd@r0.5,0,12,0.25244768700018555,0.0,0.16731928325507478,homophily=0.334 edges=4898,,0.14
base:louvain,crisismmd@r0.5,1,13,0.243542220043586,0.0,0.1597006352412795,homophily=0.330 edges=4908,,0.14
base:louvain,fakeddit_real_full,2,382,0.9410351046897636,0.10079728807818,0.30403253673415487,homophily=0.887 edges=13108,,1.41
base:louvain,crisismmd@r0.5,2,11,0.25617142642668467,0.0,0.16467341289893403,homophily=0.337 edges=4959,,0.2
base:louvain,crisismmd@r1.0,0,11,0.25307434750797725,0.0,0.15818876519706393,homophily=0.198 edges=4881,,0.16
base:louvain,crisismmd@r1.0,2,10,0.2538418112511343,0.0,0.15932253731041848,homophily=0.205 edges=4982,,0.14
base:louvain,crisismmd@r1.0,1,12,0.2556748327152022,0.0,0.14285088910187996,homophily=0.201 edges=4973,,0.23
base:louvain,fakeddit@r0.02,1,6,0.5085415584559037,0.6698911228429015,0.8886919228655067,homophily=0.915 edges=12522,,0.17
base:louvain,fakeddit@r0.02,0,9,0.5141357672297695,0.8871096653038846,0.9725144909420155,homophily=0.916 edges=12551,,0.27
base:louvain,fakeddit@r0.02,2,8,0.5114601951986397,0.8051911976919354,0.9431009515510316,homophily=0.913 edges=12513,,0.2
base:louvain,fakeddit@r0.1,0,5,0.37523264776571136,0.5197647770993059,0.8206804310002696,homophily=0.684 edges=12623,,0.25
base:louvain,fakeddit@r0.1,1,5,0.36741754203739396,0.5012782128421144,0.8355439609631026,homophily=0.682 edges=12442,,0.22
base:louvain,fakeddit@r0.1,2,4,0.3672037535642457,0.48508196168362705,0.8005012041161863,homophily=0.679 edges=12516,,0.27
base:louvain,fakeddit@r0.25,0,9,0.21670854993895525,0.026228191380809562,0.24892566799599944,homophily=0.467 edges=12589,,0.39
base:louvain,fakeddit@r0.25,2,8,0.22067372386349826,0.057939111662093756,0.29083552819944625,homophily=0.460 edges=12618,,0.28
base:louvain,fakeddit@r0.5,0,10,0.19653736930702229,0.0,0.12473483529086557,homophily=0.306 edges=12621,,0.34
base:louvain,fakeddit@r0.25,1,9,0.21309665064354197,0.04049604607298507,0.2461193095010189,homophily=0.461 edges=12519,,0.52
base:louvain,fakeddit@r0.5,1,9,0.1946139346954571,0.0,0.13984337304646785,homophily=0.301 edges=12578,,0.27
base:louvain,fakeddit@r0.5,2,10,0.19728465143538576,1.1102230246251565e-16,0.12521673372795528,homophily=0.291 edges=12618,,0.28
base:louvain,fakeddit@r1.0,0,9,0.19401670912401853,0.0,0.13161026186906571,homophily=0.182 edges=12562,,0.27
