condition,severity,method,seed,k,n,avg_degree,onmi,modularity,f1,mean_umax,collapsed,wall_fit_s,peak_rss_mb,success,error
noise,8.0,spectral_graph_content,1,32,8000,17.98475,0.721043011290941,0.003351704166223939,0.8546110227223762,,,10.281000000002678,3931.140096,True,
noise,8.0,spectral_graph_content,2,32,8000,17.96975,0.7300628520987049,0.003322288563716694,0.8602087772865908,,,10.25,3931.09504,True,
missing,0.0,nfmcd_default,0,32,8000,17.92875,0.02288883270107256,0.058502891448240286,0.03544962684941681,0.03125461787773375,True,15.89100000000326,607.883264,True,
missing,0.0,nfmcd_default,1,32,8000,17.86025,0.02380263322004439,0.05760738911646614,0.019585733109029734,0.0312549167323667,True,16.10899999999674,604.07808,True,
missing,0.0,nfmcd_default,2,32,8000,18.08425,0.018962927065131696,0.06484747694362857,0.047550465314703146,0.031255183619833746,True,16.25,627.490816,True,
missing,0.4,nfmcd_default,0,32,8000,17.92875,0.0031971924953652087,0.08249846082071798,0.03730792049341966,0.03125015650198198,True,6.75,451.592192,True,
missing,0.4,nfmcd_default,1,32,8000,17.86025,0.004029630018188346,0.07857893401790596,0.04464692107062612,0.03125010877450891,True,6.796999999998661,453.57056,True,
missing,0.4,nfmcd_default,2,32,8000,18.08425,0.0,0.08928960675769917,0.09603079758528033,0.031250030900315175,True,6.98399999999674,454.0416,True,
missing,0.8,nfmcd_default,0,32,8000,17.92875,0.0,0.12812342166283142,0.0863230784532413,0.03125004299972657,True,1.4380000000019209,428.806144,True,
missing,0.8,nfmcd_default,1,32,8000,17.86025,0.0,0.1250506035779228,0.09271539360702868,0.03125004161155695,True,1.2819999999992433,423.940096,True,
missing,0.8,nfmcd_default,2,32,8000,18.08425,0.0,0.12736556894099774,0.08986258831046728,0.03125004431358374,True,1.2030000000013388,428.220416,True,
missing,0.0,nfmcd_robust,0,32,8000,17.92875,0.7560901100706122,0.17505915199036734,0.8674521553921719,0.5272377284939235,False,12.485000000000582,548.683776,True,
missing,0.0,nfmcd_robust,1,32,8000,17.86025,0.6761146391620317,0.16637962075266868,0.7605703787414215,0.46853612803928785,False,13.25,588.619776,True,
missing,0.0,nfmcd_robust,2,32,8000,18.08425,0.7638414736598791,0.17177569047057348,0.8641192277912833,0.5478507509071247,False,12.390999999995984,597.168128,True,
missing,0.4,nfmcd_robust,0,32,8000,17.92875,0.35024805581182883,0.11397924999133173,0.4992294813432936,0.3408728718195314,False,5.921999999998661,481.787904,True,
missing,0.4,nfmcd_robust,1,32,8000,17.86025,0.33892944927234125,0.11230157895248193,0.5222699077745517,0.3749051701111209,False,4.125,482.729984,True,
