rate,blend,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,primary_onmi,primary_modularity,primary_f1,note,error,secs
0.3,0.5,demon,0,300,0.2633,79,,,,0.4169,0.2633,1.0,,,,,,,,,single fixed operating point,,0.14
0.3,0.5,slpa,0,300,0.2633,79,,,,0.4198,0.4096,0.4304,,,,,,,,,single fixed operating point,,0.25
0.3,0.5,always_overlap,0,300,0.2633,79,,,,0.4169,0.2633,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,always_no_overlap,0,300,0.2633,79,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,nfmcd_default,1,300,0.2133,64,0.7143802966101694,0.4544336147228113,0.1,0.4662576687116564,0.3838383838383838,0.59375,0.21052631578947367,0.6666666666666666,0.125,0.6719,64,0.7373,0.4262,0.9116,,,0.17
0.3,0.5,nfmcd_robust,1,300,0.2133,64,0.6751191737288136,0.36758837423708457,0.05,0.36879432624113473,0.33766233766233766,0.40625,0.05970149253731343,0.6666666666666666,0.03125,0.8281,64,0.7318,0.4262,0.9047,,,0.11
0.3,0.5,demon,1,300,0.2133,64,,,,0.3481,0.2114,0.9844,,,,,,,,,single fixed operating point,,0.14
0.3,0.5,slpa,1,300,0.2133,64,,,,0.2449,0.3529,0.1875,,,,,,,,,single fixed operating point,,0.26
0.3,0.5,always_overlap,1,300,0.2133,64,,,,0.3516,0.2133,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,always_no_overlap,1,300,0.2133,64,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,nfmcd_default,2,300,0.2167,65,0.7378068739770868,0.48095508858518854,0.1,0.47560975609756095,0.3939393939393939,0.6,0.2682926829268293,0.6470588235294118,0.16923076923076924,0.6,65,0.7236,0.3974,0.9109,,,0.12
0.3,0.5,nfmcd_robust,2,300,0.2167,65,0.6918494271685761,0.4432065447359427,0.05,0.3973509933774834,0.3488372093023256,0.46153846153846156,0.1388888888888889,0.7142857142857143,0.07692307692307693,0.8308,65,0.7364,0.3987,0.9078,,,0.11
0.3,0.5,demon,2,300,0.2167,65,,,,0.3601,0.2196,1.0,,,,,,,,,single fixed operating point,,0.17
0.3,0.5,slpa,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.22
0.3,0.5,always_overlap,2,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,always_no_overlap,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.5,nfmcd_default,3,300,0.2167,65,0.8179378068739771,0.57821275370646,0.1,0.5348837209302326,0.42990654205607476,0.7076923076923077,0.2784810126582279,0.7857142857142857,0.16923076923076924,0.5846,65,0.7537,0.4068,0.9163,,,0.14
0.3,0.5,nfmcd_robust,3,300,0.2167,65,0.7546317512274959,0.5080947187062498,0.05,0.46153846153846145,0.4230769230769231,0.5076923076923077,0.21621621621621623,0.8888888888888888,0.12307692307692308,0.7692,65,0.7551,0.4066,0.9144,,,0.12
0.3,0.5,demon,3,300,0.2167,65,,,,0.3571,0.2174,1.0,,,,,,,,,single fixed operating point,,0.14
0.3,0.5,slpa,3,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.27
