part,dataset,variant,k,seed,k_true,onmi,modularity,f1,error,secs
A,fakeddit_real_lcc,default,13,0,6,0.23185971444197062,0.4191426122676109,0.4477559967150766,,0.55
A,fakeddit_real_lcc,robust,13,0,6,0.32837777338226226,0.8375799402190522,0.6036145008896646,,0.39
A,fakeddit_real_lcc,robust,13,2,6,0.3289125356899718,0.8381075961217833,0.6032692612866793,,0.38
A,fakeddit_real_lcc,default,13,2,6,0.10932945285872031,0.5008058659899053,0.17536528302449128,,0.59
A,pheme,default,2,1,9,0.0,0.016275280804394776,0.337673564659665,,0.19
A,pheme,robust,2,0,9,0.022290528666169762,0.49883559374392383,0.3427692249901394,,0.17
A,pheme,default,2,0,9,0.022290528666169762,0.499419050825234,0.3427692249901394,,0.25
A,fakeddit_real_lcc,default,13,1,6,0.09517830403995098,0.5047965268243856,0.1730647781337219,,0.72
A,pheme,robust,2,1,9,0.11789771389095816,0.060989779248164934,0.3483443314903989,,0.14
A,pheme,robust,2,2,9,0.014027925828754118,0.4967248215772018,0.3087384194752616,,0.25
A,pheme,robust,3,0,9,0.012924274161446037,0.6628100473227212,0.3016601711728795,,0.2
A,pheme,default,2,2,9,0.013451313461636638,0.4967248215772018,0.30960575600465556,,0.61
A,pheme,robust,3,1,9,0.045410618412750736,0.6411824513812812,0.34977240548167593,,0.39
A,pheme,robust,3,2,9,0.023150527705640078,0.6555059907986385,0.3395961794440748,,0.39
A,pheme,default,3,2,9,0.023150527705640078,0.6635731885317269,0.3395961794440749,,0.67
A,pheme,robust,4,0,9,0.007872076455667676,0.7329696180399323,0.31718331559482527,,0.39
A,pheme,robust,4,1,9,0.01906050527553682,0.7261304093700109,0.33150172800069494,,0.28
A,pheme,default,3,1,9,0.03369309886932115,0.6570750551518154,0.3244008354556136,,1.5
A,pheme,default,3,0,9,0.012791069220998819,0.6650106615532911,0.3011224568792026,,1.55
A,pheme,robust,4,2,9,0.033807794383609036,0.7274821709973295,0.37896062863344576,,0.25
A,pheme,default,4,2,9,0.020616324391547147,0.7373069686461523,0.3683440569318018,,1.86
A,pheme,robust,5,0,9,0.010422079936156292,0.7840100894555512,0.3101564275179061,,0.36
A,pheme,robust,5,1,9,0.026497578476361805,0.7759369907658881,0.35956249916872723,,0.22
A,pheme,robust,5,2,9,0.014097991379574237,0.7832605204466669,0.30255993714707213,,0.2
A,pheme,default,4,1,9,0.018018915210640474,0.724654580130712,0.3282172384547214,,2.76
A,pheme,default,5,2,9,0.015283137048985651,0.7859709773252793,0.3062274276300809,,1.75
A,pheme,default,4,0,9,0.007872076455667676,0.7329696180399323,0.31978631656765333,,3.5
A,pheme,default,5,1,9,0.02344634556931635,0.7762998995952238,0.3491264550448441,,2.67
A,pheme,robust,6,0,9,0.0,0.8186330670133282,0.257152686764548,,0.44
A,pheme,robust,6,1,9,0.0,0.8151879410411824,0.3260549292477294,,0.36
A,pheme,robust,6,2,9,0.009642505796448653,0.8210922906657784,0.3107034266501228,,0.31
A,pheme,default,5,0,9,0.011389465767407403,0.7813515609947951,0.3121088255375898,,3.77
A,pheme,default,6,1,9,0.0,0.827455144616218,0.32160411696802127,,4.61
A,pheme,robust,7,0,9,0.0,0.8388942964599276,0.25003490027355657,,0.38
A,pheme,default,7,0,9,0.0,0.8512408679008912,0.2463311142896906,,4.02
A,pheme,robust,7,1,9,0.010068012627574285,0.8404384292715771,0.288009095101369,,0.34
A,pheme,robust,7,2,9,0.010013042009289652,0.8434797822901081,0.27051309831102116,,0.23
A,pheme,default,6,2,9,0.0,0.8207276115494703,0.2847230020349566,,5.5
